,Company/Branch,Town,Location,Phone,Email,Website,Date Added,Unnamed: 8,0,1,2,3,4,5,6,7
130,,,,,,,,,Alert Electrical Wholesalers,Branch,LEICESTER (2), Unit 2 Barrington Ind Est Leycroft Road LEICESTER Leicestershire LE4 1ET,0116 4670515,leicesternorth@alertelectrical.com,,2024-07-21
131,,,,,,,,,Alert Electrical Wholesalers,Branch,LEICESTER (2), 83a Commercial Square Freemans Common LEICESTER Leicestershire LE2 7SR,0116 489 4899,leicester@alertelectrical.com,,2024-07-21
132,,,,,,,,,Alert Electrical Wholesalers,Branch,LEICESTER," Unit 10, Gainsborough Business Park Gainsborough Close LONG EATON Nottinghamshire NG10 1PX",0115 697 9690,longeaton@alertelectrical.com,,2024-07-21
133,,,,,,,,,Alert Electrical Wholesalers,Branch,LONG EATON, Units 1 & 2 Ashling Court Off Iremonger Road NOTTINGHAM Nottinghamshire NG2 3JA,0115 986 4911,nottingham@alertelectrical.com,,2024-07-21
134,,,,,,,,,ANEW Ltd,Company,HITCHIN, Suite 3 Titmore Court Titmore Green HITCHIN Hertfordshire SG4 7JT ,01438 750075,office@anew.co.uk,http://www.anew.co.uk,2024-07-21
135,,,,,,,,,BEMCO - British Electrical and Manufacturing Company,Company,NEWCASTLE, Clavering Court Clavering Place NEWCASTLE UPON TYNE Northumberland NE1 3NG ,0191 230 5449,accounts@bemco.co.uk,http://www.bemco.co.uk,2024-07-21
136,,,,,,,,,BEMCO - British Electrical and Manufacturing Company,Branch,BASILDON, Unit 26 Yardley Business Park Luckyn Lane BASILDON Essex SS14 3GL,01268 645 750,basildon@bemco.co.uk,,2024-07-21
137,,,,,,,,,BEMCO - British Electrical and Manufacturing Company,Branch,DARTFORD," Unit 21, Quadrant Court Off Crossways Boulevard Greenhithe DARTFORD Kent DA9 9AY",01322 623200,dartford@bemco.co.uk,,2024-07-21
138,,,,,,,,,BEMCO - British Electrical and Manufacturing Company,Branch,DURHAM, Unit 16 Cathedral Park Belmont Industrial Estate DURHAM County Durham DH1 1TF,0191 375 1980,durham@bemco.co.uk,,2024-07-21
139,,,,,,,,,BEMCO - British Electrical and Manufacturing Company,Branch,EDINBURGH," Units 1-3, 25 Kings Haugh Peffermill Park, Peffermill Industrial Estate EDINBURGH Midlothian EH16 5UY",0131 652 8140,edinburgh@bemco.co.uk,,2024-07-21
140,,,,,,,,,BEMCO - British Electrical and Manufacturing Company,Branch,GLASGOW, 262 Glasgow Road Rutherglen GLASGOW Lanarkshire G73 1SR,0141 647 9271,glasgow@bemco.co.uk,,2024-07-21
141,,,,,,,,,BEMCO - British Electrical and Manufacturing Company,Branch,LONDON, Wandsworth Bridge South LONDON Greater London SW18 1TN,020 8874 0404,london@bemco.co.uk,,2024-07-21
142,,,,,,,,,BEMCO - British Electrical and Manufacturing Company,Branch,WATFORD, Unit 11B The Imperial Centre Imperial Way WATFORD Hertfordshire WD24 4PP,01923 224037,watford@bemco.co.uk,,2024-07-21
143,,,,,,,,,Bonus Electrical Ltd,Company,HULL, 5 Witty Street HULL East Yorkshire HU3 4TT ,01482 373737,sales@bonuselectrical.co.uk,https://bonus-group.co.uk,2024-07-21
144,,,,,,,,,Bonus Electrical Ltd,Branch,HULL, Units 1 & 5 Connaught Road Kingswood Business Park HULL East Yorkshire HU7 3AP,01482 373737,sales@bonuselectrical.co.uk,,2024-07-21
145,,,,,,,,,BPX Electro Mechanical Co. Ltd,Company,LEICESTER, Unit 3 Rothley Lodge Loughborough Road Rothley LEICESTER Leicestershire LE7 7NL ,0116 299 9100,bpx@bpx.co.uk,http://www.bpx.co.uk,2024-07-21
146,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,BIRMINGHAM, Unit 21 Frankley Industrial Estate Tay Road Rubery BIRMINGHAM West Midlands B45 0LD,0121 716 0575,bpxbirmingham@bpx.co.uk,,2024-07-21
147,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,BRISTOL," Unit 6, Garanor Way Gordano 19 Portbury BRISTOL City of Bristol BS20 7XE",01275 868335,bpxbristol@bpx.co.uk,,2024-07-21
148,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,DUBLIN, Deerpark Business Park Dublin Road Ballyvergal DUBLIN County Carlow R93 HP23,353 1 553 2530,info@bpxireland.ie,,2024-07-21
149,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,MANCHESTER, Unit A14 Kenyon Court Moss Industrial Estate Leigh MANCHESTER Greater Manchester WN7 3PT,0161 724 9715,bpxmanchester@bpx.co.uk,,2024-07-21
150,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,NEWCASTLE-UNDER-LYME, Unit 8 High Carr Business Park Chesterton NEWCASTLE-UNDER-LYME Staffordshire ST5 7UH,01782 564400,bpxstaffs@bpx.co.uk,,2024-07-21
151,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,NEWMARKET, Unit 5E - Lynx Business Park Fordham Road Snailwell NEWMARKET Suffolk CB8 7NY,01638 721760,bpxanglia@bpx.co.uk,,2024-07-21
152,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,NORTHAMPTON, 19 Barn Way Lodge Farm Industrial Estate NORTHAMPTON Northamptonshire NN5 7UW,01604 759906,bpxnorthants@bpx.co.uk,,2024-07-21
153,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,NOTTINGHAM, 386 Haydn Road Basford NOTTINGHAM Nottinghamshire NG5 1EA,0115 970 4531,bpxnotts@bpx.co.uk,,2024-07-21
154,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,ROMSEY NR SOUTHAMPTON, Unit 10 Westlink Belbins Business Park ROMSEY NR SOUTHAMPTON Hampshire SO51 7JF,01794 522817,bpxsouthampton@bpx.co.uk,,2024-07-21
155,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,SLOUGH, 937 Yeovil Road SLOUGH Berkshire SL1 4NH,01753 619030,bpxslough@bpx.co.uk,,2024-07-21
156,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,SUNDERLAND, 4 West Quay Court Crown Road SUNDERLAND Tyne and Wear SR5 2BX,0191 549 3224,bpxsunderland@bpx.co.uk,,2024-07-21
157,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,WAKEFIELD, Sandal Castle Centre Asdale Road Sandal WAKEFIELD West Yorkshire WF2 7JE,01924 241290,bpxyorks@bpx.co.uk,,2024-07-21
158,,,,,,,,,BPX Electro Mechanical Co. Ltd,Branch,WELWYN GARDEN CITY, 10 Little Ridge Ridgeway WELWYN GARDEN CITY Hertfordshire AL7 2BH,01707 379800,bpxherts@bpx.co.uk,,2024-07-21
